NomSite,Sigle,Superficie,Vegetation,NbreDate,Date d'echantillonnage,Prof1,Prof2,Latitude,Longitude,Diagramme complet,Charbons et PAF
Hertel (Lac),HERC5,28.4,EC/ET,3,07-03-2001,,,453250,730910,,
Bromont (lac),BROM2,50,ET,0,17-03-1982,,,451552.43,724016.56,,
Bromont (lac),BROM3,50,ET,9,08-03-2001,,,451558.73,724020.36,,
Hertel (Lac),HERCS2,28.4,EC/ET,0,07-03-2001,,,453250,730910,,
Hertel (Lac),HERL2,28.4,EC/ET,0,15-03-2001,,,453250,730910,,
Hertel (Lac),HERL3,28.4,EC/ET,0,15-03-2001,,,453250,730910,,
Hertel (Lac),HERL4,28.4,EC/ET,0,15-03-2001,,,453250,730910,,
Tourbière de Saint-Canut,canut,,EC,0,,,,454110,740401,c,
Bromont (lac),BROM240,50,ET,8,29-11-2000,554,558,451545.78,724030.89,c,
Hemlock Carr,HC250_60,5.1,ET,15,29-10-2002,938,939,453330,730825,c,
Hertel (Lac),HERC6,28.4,EC/ET,2,07-02-2003,,,453250,730910,,
Hertel (Lac),HERC7,28.4,EC/ET,2,17-03-2003,,,453250,730910,,
Germain (Lac ˆ St-),GER3,5,EBj SBj,1,31-03-2003,,,455645,742215,c,
Shefford,SHE3,4.7,ET,1,04-07-2003,,,452133,723510,,
Shefford,SHE2,4.7,ET,0,22-10-1976,,,452132,723505,c,
Tourbière de LG-1,L1T1C1,,,1,01-08-2002,147,148,535406,784634,i,
Tourbière de LG-1,L1T1C2,,,9,01-08-2002,165,167,535406,784634,c,
Tourbière de LG-1,L1T1C3,,,1,01-08-2002,114,115,535400,784600,i,
Tourbière de LG-2,L2T2C1,,,1,01-08-2002,263,264,533800,774400,i,
Tourbière de LG-2,L2T2C2,,,6,01-08-2002,335,338,533859,774400,i,
Tourbière de LG-2,L2T2C3,,,1,01-08-2002,279,280,533800,774400,i,
Tourbière de LG-3,L3T1C1,,,1,01-08-2002,230,231,533400,760800,i,
Tourbière de LG-3,L3T1C2,,,7,01-08-2002,374,378,533400,760800,c,
Tourbière de LG-3,L3T1C3,,,1,01-08-2002,292,293,533400,760800,i,
Lac Memphr_magog,BgFb-005,,,0,,,,450748,721500,,
Wales Island,Wales WLS,2,,0,11-08-1992,,,614145,720230,i,paf
Diable (lac du),DIAB93,25,SEpn,5,28-03-1993,150,155,485442,660726,c,c
McGinnis (Lac),mcG,,,0,01-07-1999,,,443626,780223,,PAF CHB
Champ de mangrove,TRINIDAD,,,0,,,,,,,
Grande-Vall_e,GV,,,2,01-07-1993,,,,,,
Petite-Vall_e,PV,,,3,01-07-1993,800,801,,,,
Mont-Saint-Pierre,MSP,,,2,01-07-1993,310,311,,,,
Moulin de la Chevrotière,Chevrot,,,1,,,,463745,715920,,
